Name;Current Price;24h Change;Creation Date
Bitcoin;87285.0;3.08691;2024-11-12 14:29:11
Ethereum;3255.16;-1.25938;2024-11-12 14:29:11
Litecoin;75.99;-3.01557;2024-11-12 14:29:11
