Name;Current Price;24h Change;Creation Date
Bitcoin;87348.0;-0.45791;2024-11-13 07:21:39
Ethereum;3156.75;-6.12676;2024-11-13 07:21:39
Litecoin;72.75;-7.95754;2024-11-13 07:21:39
